Price,Close,High,Low,Open,Volume
Ticker,SMI,SMI,SMI,SMI,SMI
Date,,,,,
2023-06-06,43.1175651550293,43.1175651550293,43.1175651550293,43.1175651550293,1
2023-06-07,43.0313606262207,43.0313606262207,43.0313606262207,43.0313606262207,49
2023-06-08,43.160770416259766,43.160770416259766,43.160770416259766,43.160770416259766,11
2023-06-09,43.10865020751953,43.10865020751953,43.10865020751953,43.10865020751953,1
2023-06-12,43.12287139892578,43.12287139892578,43.07550517203378,43.08497697188759,284
2023-06-13,43.075496673583984,43.075496673583984,43.06602126178812,43.075496673583984,4761
2023-06-14,43.15696716308594,43.15696716308594,43.15696716308594,43.15696716308594,1
2023-06-15,43.24602508544922,43.24602508544922,43.24602508544922,43.24602508544922,9
2023-06-16,43.250755310058594,43.250755310058594,43.250755310058594,43.250755310058594,12
2023-06-20,43.30759811401367,43.359608083716964,43.29338860867228,43.359608083716964,607
2023-06-21,43.331275939941406,43.331275939941406,43.312328731316995,43.312328731316995,433
2023-06-22,43.217498779296875,43.217498779296875,43.217498779296875,43.217498779296875,3
2023-06-23,43.39759063720703,43.407062434892026,43.397493064319775,43.407062434892026,1222
2023-06-26,43.340850830078125,43.340850830078125,43.340850830078125,43.340850830078125,124
2023-06-27,43.36946487426758,43.36946487426758,43.36946487426758,43.36946487426758,10
2023-06-28,43.430747985839844,43.430747985839844,43.430747985839844,43.430747985839844,27
2023-06-29,43.24602508544922,43.24602508544922,43.24602508544922,43.24602508544922,12
2023-06-30,43.35002899169922,43.35002899169922,43.35002899169922,43.35002899169922,76
2023-07-03,43.29288864135742,43.29288864135742,43.29288864135742,43.29288864135742,102
2023-07-05,43.27303695678711,43.27303695678711,43.24540705709409,43.24540705709409,107
2023-07-06,43.174198150634766,43.174198150634766,43.174198150634766,43.174198150634766,39
2023-07-07,43.15997314453125,43.15997314453125,43.15997314453125,43.15997314453125,1
2023-07-10,43.174198150634766,43.174198150634766,43.17002233830197,43.17002233830197,151
2023-07-11,43.188446044921875,43.19746406193613,43.183698004638465,43.183698004638465,10558
2023-07-12,43.316627502441406,43.316627502441406,43.293843421110985,43.306468648820065,211
2023-07-13,43.45903778076172,43.45903778076172,43.45903778076172,43.45903778076172,7
2023-07-14,43.39731216430664,43.39731216430664,43.39731216430664,43.39731216430664,10
2023-07-17,43.425987243652344,43.425987243652344,43.425987243652344,43.425987243652344,23
2023-07-18,43.501747131347656,43.501747131347656,43.49633632123365,43.49633632123365,110
2023-07-19,43.62517166137695,43.63513856212618,43.62517166137695,43.63513856212618,337
2023-07-20,43.57296371459961,43.57761397019218,43.57296371459961,43.57761397019218,205
2023-07-21,43.58244323730469,43.60617981526872,43.58244323730469,43.60617981526872,456
2023-07-24,43.6014404296875,43.630019217281635,43.6014404296875,43.630019217281635,586
2023-07-25,43.57200622558594,43.57200622558594,43.57200622558594,43.57200622558594,94
2023-07-26,43.629920959472656,43.672642458247104,43.55871483982156,43.587101674968565,12099
2023-07-27,43.46377182006836,43.56820697856274,43.46377182006836,43.56820697856274,1936
2023-07-28,43.444786071777344,43.47289041641566,43.444786071777344,43.47289041641566,1314
2023-07-31,43.3609504699707,43.3609504699707,43.35838631094336,43.35838631094336,2401
2023-08-01,43.29541015625,43.29541015625,43.29541015625,43.29541015625,9
2023-08-02,43.18613815307617,43.18613815307617,43.1243158923498,43.143338963714804,1091
2023-08-03,42.848487854003906,42.92362953198607,42.848487854003906,42.92362953198607,152
2023-08-04,43.11004638671875,43.11004638671875,43.03899741540395,43.03899741540395,886
2023-08-07,42.962623596191406,42.962623596191406,42.962623596191406,42.962623596191406,1
2023-08-08,43.052978515625,43.052978515625,43.02377812041901,43.02377812041901,3226
2023-08-09,43.14333724975586,43.14333724975586,43.086173702655124,43.08626803792803,848
2023-08-10,43.029571533203125,43.03870391152274,43.029571533203125,43.03870391152274,345
2023-08-11,43.02730178833008,43.02730178833008,43.02730178833008,43.02730178833008,102
2023-08-14,43.08150863647461,43.094066111815366,43.08150863647461,43.094066111815366,203
2023-08-15,43.08150863647461,43.08150863647461,43.08150863647461,43.08150863647461,56
2023-08-16,42.986873626708984,43.257470720471,42.986873626708984,43.13372824416698,8055
2023-08-17,42.872257232666016,42.872257232666016,42.872257232666016,42.872257232666016,60
2023-08-18,42.843727111816406,42.843727111816406,42.843727111816406,42.843727111816406,10
2023-08-21,42.65350341796875,42.65350341796875,42.64874674341996,42.64874674341996,1159
2023-08-22,42.66777420043945,42.66777420043945,42.66777420043945,42.66777420043945,10
2023-08-23,42.79331970214844,42.79331970214844,42.79331970214844,42.79331970214844,4
2023-08-24,42.710567474365234,42.743762603192756,42.70676503748566,42.743762603192756,261
2023-08-25,42.71266555786133,42.71266555786133,42.71266555786133,42.71266555786133,9
2023-08-28,42.772396087646484,42.772396087646484,42.772396087646484,42.772396087646484,1
2023-08-29,42.891292572021484,42.90555896945796,42.83898002923433,42.85800310190967,6918
2023-08-30,42.83422088623047,42.83422088623047,42.83422088623047,42.83422088623047,31
2023-08-31,42.87702941894531,42.87702941894531,42.87702941894531,42.87702941894531,4
2023-09-01,42.83241271972656,42.83241271972656,42.83241271972656,42.83241271972656,4
2023-09-05,42.7821044921875,42.80592573466292,42.7821044921875,42.79639796470594,1152
2023-09-06,42.786861419677734,42.853566701193984,42.75827084533849,42.853566701193984,639
2023-09-07,42.76304244995117,42.76304244995117,42.749032521316224,42.749032521316224,941
2023-09-08,42.7725830078125,42.776490812115966,42.7725830078125,42.776490812115966,1184
2023-09-11,42.77734375,42.786777006736116,42.74875680164823,42.786777006736116,1857
2023-09-12,42.72492599487305,42.72492599487305,42.72492599487305,42.72492599487305,4
2023-09-13,42.786861419677734,42.786861419677734,42.786861419677734,42.786861419677734,2
2023-09-14,42.658226013183594,42.658226013183594,42.658226013183594,42.658226013183594,2
2023-09-15,42.64297866821289,42.64297866821289,42.64297866821289,42.64297866821289,179
2023-09-18,42.71540069580078,42.720166398529464,42.7106349930721,42.7106349930721,3087
2023-09-19,42.624874114990234,42.624874114990234,42.624874114990234,42.624874114990234,146
2023-09-20,42.63926315307617,42.63926315307617,42.63926315307617,42.63926315307617,102
2023-09-21,42.34833526611328,42.36758347339357,42.34833526611328,42.36758347339357,6600
2023-09-22,42.36757278442383,42.36757278442383,42.36757278442383,42.36757278442383,32
2023-09-25,42.076934814453125,42.076934814453125,42.076934814453125,42.076934814453125,4900
2023-09-26,41.967342376708984,41.967342376708984,41.93875179750449,41.93875179750449,858
2023-09-27,41.86823272705078,41.86823272705078,41.86823272705078,41.86823272705078,3
2023-09-28,41.71481704711914,41.76732338526161,41.69194458245613,41.76722887094483,4926
2023-09-29,41.743412017822266,41.776764672562734,41.743412017822266,41.776764672562734,3460
2023-10-02,41.55683517456055,41.55683517456055,41.55683517456055,41.55683517456055,100
2023-10-03,41.37054443359375,41.37054443359375,41.37054443359375,41.37054443359375,12
2023-10-04,41.561614990234375,41.561614990234375,41.561614990234375,41.561614990234375,71
2023-10-05,41.6046028137207,41.6046028137207,41.6046028137207,41.6046028137207,3
2023-10-06,41.348087310791016,41.348087310791016,41.348087310791016,41.348087310791016,1
2023-10-09,41.566383361816406,41.566383361816406,41.566383361816406,41.566383361816406,117
2023-10-10,41.66191482543945,41.71923225586558,41.66191482543945,41.71923225586558,661
2023-10-11,41.98490905761719,41.98490905761719,41.98490905761719,41.98490905761719,1
2023-10-12,41.80998992919922,41.80998992919922,41.80998992919922,41.80998992919922,10
2023-10-13,41.96761703491211,42.04337457950462,41.96761703491211,42.04337457950462,210
2023-10-16,41.71445846557617,41.71445846557617,41.71445846557617,41.71445846557617,25
2023-10-17,41.47562789916992,41.47562789916992,41.47562789916992,41.47562789916992,1
2023-10-18,41.4278564453125,41.46606684741748,41.4278564453125,41.43263046789309,1069
2023-10-19,41.160377502441406,41.160377502441406,41.160377502441406,41.160377502441406,28
2023-10-20,41.217689514160156,41.217689514160156,41.184253129217076,41.193804820218254,481
2023-10-23,41.270233154296875,41.270233154296875,41.270233154296875,41.270233154296875,1200
2023-10-24,41.360984802246094,41.360984802246094,41.360984802246094,41.360984802246094,25
2023-10-25,41.11738204956055,41.11738204956055,41.11738204956055,41.11738204956055,25
2023-10-26,41.30366516113281,41.30366516113281,41.30366516113281,41.30366516113281,25
2023-10-27,41.25112533569336,41.25112533569336,41.25112533569336,41.25112533569336,25
2023-10-30,41.17536926269531,41.17536926269531,41.17536926269531,41.17536926269531,3
2023-10-31,41.10782241821289,41.10782241821289,41.10782241821289,41.10782241821289,101
2023-11-01,41.3367805480957,41.3367805480957,41.312860109608856,41.312860109608856,122
2023-11-02,41.64772033691406,41.64772033691406,41.64772033691406,41.64772033691406,200
2023-11-03,41.929969787597656,41.953886576105546,41.925184969997495,41.953886576105546,566
2023-11-06,41.82472610473633,41.82472610473633,41.82472610473633,41.82472610473633,92
2023-11-07,42.12505340576172,42.12505340576172,42.12505340576172,42.12505340576172,65
2023-11-08,42.26607131958008,42.26607131958008,42.26607131958008,42.26607131958008,18
2023-11-09,42.13567352294922,42.14523950848833,42.13567352294922,42.14523950848833,114
2023-11-10,42.29832458496094,42.29832458496094,42.29832458496094,42.29832458496094,84
2023-11-13,42.336585998535156,42.336585998535156,42.336585998535156,42.336585998535156,3
2023-11-14,42.64907455444336,42.64907455444336,42.62410298559647,42.62410298559647,570
2023-11-15,42.61883544921875,42.61883544921875,42.59348430942276,42.59348430942276,611
2023-11-16,42.814964294433594,42.858016696594674,42.77669305934872,42.77669305934872,1800
2023-11-17,42.82941436767578,42.82941436767578,42.82941436767578,42.82941436767578,14
2023-11-20,43.006317138671875,43.006317138671875,43.006317138671875,43.006317138671875,1
2023-11-21,43.068511962890625,43.068511962890625,43.04459517431639,43.04459517431639,100
2023-11-22,43.1354866027832,43.1354866027832,43.074926357200795,43.074926357200795,2215
2023-11-24,43.09722137451172,43.09722137451172,43.09722137451172,43.09722137451172,8
2023-11-27,43.17481231689453,43.17854600797085,43.06411549348815,43.06411549348815,705
2023-11-28,43.24550247192383,43.24550247192383,43.13078732066433,43.197665257468095,3484
2023-11-29,43.68562698364258,43.68562698364258,43.52297966386016,43.53254565042218,965
2023-11-30,43.60612106323242,43.66649152653765,43.60612106323242,43.66649152653765,1348
2023-12-01,43.87248992919922,43.87248992919922,43.87248992919922,43.87248992919922,2
2023-12-04,43.76130294799805,43.76130294799805,43.76130294799805,43.76130294799805,38
2023-12-05,43.92923355102539,43.92923355102539,43.92923355102539,43.92923355102539,31
2023-12-06,44.0057258605957,44.0057258605957,44.0057258605957,44.0057258605957,47
2023-12-07,44.03419494628906,44.03419494628906,44.03419494628906,44.03419494628906,2
2023-12-08,43.81401062011719,43.91944855507002,43.78525614930053,43.91465492444431,19448
2023-12-11,43.96297073364258,43.96297073364258,43.96297073364258,43.96297073364258,1
2023-12-12,43.98175048828125,43.98175048828125,43.98175048828125,43.98175048828125,6
2023-12-13,44.24555206298828,44.24555206298828,44.24555206298828,44.24555206298828,10
2023-12-14,44.48200225830078,44.48200225830078,44.48200225830078,44.48200225830078,4
2023-12-15,44.45143508911133,44.45143508911133,44.45143508911133,44.45143508911133,19
2023-12-18,44.413082122802734,44.413082122802734,44.36995042080139,44.36995042080139,106
2023-12-19,44.45622253417969,44.47529467585566,44.42746440644167,44.47529467585566,524
2023-12-20,44.580833435058594,44.580833435058594,44.580833435058594,44.580833435058594,14
2023-12-21,44.55207824707031,44.55207824707031,44.55207824707031,44.55207824707031,7
2023-12-22,44.619171142578125,44.66709648204036,44.570956942063205,44.57124580311589,3264
2023-12-26,44.571250915527344,44.571250915527344,44.571250915527344,44.571250915527344,2
2023-12-27,44.675174713134766,44.71359758895418,44.675174713134766,44.71359758895418,130
2023-12-28,44.60313415527344,44.76162209768552,44.60313415527344,44.65596469081311,882
